Message,Category,
  Air marshal Noor khan ko Pakistan cricket board ka sarbarah bana diya gaya unhon ne qaumi team ka caption javed Miandad ko muqarar kardiya,ham,
  Akhri 26 over mein Pakistan ko 164 runs ki zarorat thi aur sorat e hall one day match ki thi,ham,
  Altaf Hussain ka ye musbat faisla jahan unki sakhsiyat ko mazeed mustehkam kar nay ka bais bana wahein iss say ye bhi zahir hua kay Pakistan mein na rehnay kay  bawajud unki baton mein katna wazan aur ahmiyat rakhti hai,ham,
  Altaf Hussain par bohot say ilazmat lagaye gai hain,ham,
  Aor pher woh ghari agae is ka sab ko intezar tha London ke Lance down club mein British open ka agaz hua Mahmood Alkareem ne apne title ke dafa mein masroof they magar unki bad qismati ke final mein aik martabah pher Hashim Khan hi un ke samne they,ham,
  Apne khilaf tehrik e adam etemad nakam hone ke bad se le ka raj tak Wazir e Azam Shaukat Aziz gahe bagahe aur phele se ziyadah shadomad ke sath awam ko adaad o shumar ki bhol bholaiyon mein masrof rakhe hoye hain aur zarebubadla ke zakhair ki khushkhabriyan sunane ka fariza anjam de rahe hain,ham,
  auntie got no chill #sakhtlaondi asi argument humari office ma hoti thi ,ham,
  Australia  se wapsi per khilariuo ne Miandad ki qayadat ka khilaf bagawat kardi,ham,
  best hgya yarr.,ham,
  Career ke aaghaz mein unho ne â€œ Mr X â€ jaisi nakaam action filmon se le kar â€œ Neela Parbat â€ jaise flop tajurbat tak har tarha ki film qabool kar li lekin 1964 mein hidayatkar Jameel Akhtar ki film â€œ Khamosh Raho â€ ke bad wo khase mohtaat ho gae aur sirf aise kirdar qabool karne shuru kiya jo un ki shakhsiyat aur fun ke shayan-e-shan the,ham,
"  Cheeni i ki qemat 20 rupe se bharh kar 40 rupe tak ja phonchi, Wazir e Azam samet hukumati aehalkar  cheeni  ki market mein farhami par israr karte rahe aur awam ko indiya dete rahe ke wo chini utility store se khariden",ham,
  Cricket se bohot lagao hone ki wajah se in ki khawaish thi ka in kakoi beta cricketer bane,ham,
  Fuckistan           ,ham,
  Hashim Khan gaind ke peachey bhagte bhagte kabhi nahein thakte they,ham,
  Imran Khan 48 test matches khalay jin mein say 14 jete aur 8 hare aur 26 ,ham,
  Imrna khan chun ka dafa karne ka bajaye attack karne ko tarjeh dete thay,ham,
  In donon halkon khususan tharparkar ke logon mein bara josh o kharosh paya jata tha ke mustaqbil ka aik wazir e Azam un ke elaqe se intekhab lar raha hai jis ke nateje mein is elaqe ki qismat badal jaye gi,ham,
  Isi liye  kaha jata hai ke Hashim ne Squash ke kai strokes ijad keay yeh strokes sirf wahi khail sakte they,ham,
  Iss azeem hasti ka nam Jahangir Khan tha jis ne Hint ko Squash ko khair bad kahne per majboor ker deya Jahangir ki kahani iss fateh alam ki kahani hai jo apni na qabil yaqeen salahyaton ki bunyad per bagai ruke jadoo jagata raha unhein Squash ka Sikender E Azam bhi kaha ja sakta hai jis ke samne koi ruk nahein pata tha,ham,
  Iss ka bad 1996 ka world cup ka bad woh kia aam khilari ki hasiyat se team ka rukan rahe aur world cup ka bad retire ho gaye,ham,
  Jaipur mein bohat barha auditorium tha  October ka month tha  sardi thin a garmi  barha acha mausam tha,ham,
  Javed Miandad in dino apne career ka urroj per thay,ham,
"  Javed Miandad,  Asif Iqbal ki hamrahi inning ka agaz kiya aur apne phele hi match mein 163 runs ka bara score bana dala",ham,
  Lakin 1980 se 81 mein west Indies ka khilaf series mein Pakistan Faisalabad test har gaya,ham,
  Lekin apni kuch nekiyon par unho ne sari umar pardah dale rakha,ham,
  Main zaati taur par be had sharmila hon,ham,
  Mujhe paisa banane se nahi  films banane se dilchaspi hai,ham,
  nhi mai nhi smjhii.... Na karwao yaad,ham,
  pti                ,ham,
  Saghar Siddiqui ko darwesh shair ke naam se yaad kiya jata ha,ham,
  STAR OF FB    ,ham,
  STAR OF FB    ,ham,
  STAR OF FB    ,ham,
  STAR OF FB    ,ham,
  STAR OF FB    ,ham,
  Suba e Sarhad se Justice (r) Muhammad Rafiq Tarar bhari aksariyat se kamiyab hoye,ham,
  super star javed Miandad ki qayadat se khush nahi thay,ham,
  Surangein bicha kar wo wapis lot aaye,ham,
  Us doran Imran khan sehat yab ho kar team mein wapas a gaye aur Miandad khud hi Imran khan ka huq mein team ki qayadat se dastbardar ho gaye,ham,
  Wo bohat ziyada sharmile hain.,ham,
  youn Altaf Zardari bhai bahi ka nara samnay aya ,ham,
" ;) Kabhi Kabhi Mere Dil Mein Tera Khyal Ata hai ;)  :/ Crackers Botter ;) Naeem-Tariq ,tk <3",ham,
 !                                ,ham,
 'sir ne aj extra class mai leni hai' :),ham,
 “ Golden Threshold ” yeh pore Hindustan mein bohat maqbool hua aur Sarojini Naidu ko Bhartia Kokila ya Bulbul Hind ka khitaab mil gaya,ham,
 ”Allama Shabbir Ahmed Usmani ne aap ko “ Saif ul Millat ” ka laqab aur Hussain Shaheed Seharwardi ne Allama Raghib Ahsan ko “ Pakistan ki tank force ” kakhitaab diya tha,ham,
 “kiya hai hum ne sabar humen ayoob mila” se mutasir ho kar apne pas bolaya magar un ki ana ne gawara na kiya ke koi bheek dene ke liye bolaye aur main chala jayon,ham,
" (Shairi ka majmua) Wasiyat naama, Habs e Mamul is ke elawa TV ke leye likhe gaye drame Khowja and sons, Shab Deg, Haweli, Ap ka khadim (Shahar Italy), Ali baba challis chor, Harfan mula, Election election aur Apne paraye wagherah",ham,
 1 Junuary 1998 ko Janab Justice Muhammad Rafiq Tarar bila akhir Pakistan ke Sadar ban gaye,ham,
" 1 November 1989 ko Benazir kay khelaf assembly mein tehreeq-e- adam atemad pesh ki gaye jo nakaam rahi lakin 6, August 1990 ko Sadar-e-Pakistan Ghulam Ishaq Khan nay 8 wein tarmeem kay tehat apnay ikhtayarat istamal mein latay howay assemblyan tordein aur Benazir Bhutto ko uhdah Wazarat-e-Uzma say mazol kardia",ham,
 10 April 1986 ko inki wapsi per Lahore Airport par lakhon logo nay unka isstaqbal kiya wapsi kay baad unhoon nay poray Pakistan mein raliyaan munaqid ki aur Pakistan People’s Party ko aik baar phir zinda kardia,ham,
 10 century eisvi mein Ibn Hauqal se e kar 14 century eiswi mein Ibn Batota tak jo safarname shaey hue un se maloom hota hai ke wo karra e arz ki siyahat mein yunanis se aage nikal chuke the,ham,
 10 saal ki umar mein Mari kay Jesus and Mary Convent mein bheg dia gaya aur iss kay char saal baad America ki Harvard University mein,ham,
 12 October 1999 ko Nawza Sharif hukumat ka takhta ulat kar Chief of Army Staff General Parveez Musharaf Chief Executive ban gaye aur Muhammad Rafiq Tarar ko badastor Sadar rehne diya,ham,
 13 December 1988 ko Ghulam Ishaq Khan baqaidah aur ba Ikhteyar Sadar e Mumlikat ban gaye,ham,
 14 April 1972 ko Qaumi Assembly ke ikhtetami ijlas ki sadarat ki,ham,
" 14 August 1947 ko jab Pakistan mariz wajood mein aya to I Chundrigar ko wazeer tijarat o sanat muqarrar kiya gaya, wo is auhdey par 1948 tak faiyz rahe",ham,
 14 crore ke project ko banaa ke 14 arab khaa gaye awaam ke aur Imran Khan burai bhi na karay. ,ham,
 14 December 2004 ko Wazir e Azam Shaukat AzizPakistan ke qabil e aetimad dost mulik china ke dore par gaye aur Chinese hum mansab Ho Jin Tao se mulaqat ki,ham,
 14 November ko police nay inhein giraftar karliya,ham,
" 14 October 1946 ko all india Muslim league ki working committee ne Liauqat Ali Khan, Ibrahim Ismail Chundrigar, Raja Ghazanfar Ali Khan, Sardar Abdur Rab Nashtar aur Jogandarnath Mandal ke naam bhijwaey, jise waesarae hind ne qabool karte hue un ke supurd wazartein aur mehakmey kar diye",ham,
 14 saal ki umar mein Javed Miandad ka shumar ache cricketers mein kiya jane lage,ham,
" 15 baras ki umar mein jab inho ne apne barey mein khud faisle karne shuru kiye to inho ne is haqiqat ka bhi saamna kiya ke musalsal koshishon ke bawajood wo piano bajane mein itni maharat hasil nahi kar sakin ke inhe “ Professional Pianist ” qarar diya ja sake, chunache Pianist banne ka khayal dil se nikaal kar inho ne shobaa siyasiyat ka rukh kar liya",ham,
 15 December 1997 ki sham thi jab Juhar Town Lahore mein Justice (r) Rafiq Tarar ki rehaish ghah par bar bar phone ki ghanti bajne lagi,ham,
" 16 August 1946 ko jab Muslim League ne “ Yom e rast iqdaam ” manaya to hindoun ne Calcutta mein musalmano ke khoon se holi kheli, is mauqey par bahesiyat wazeer e aala apne tadbeer se fasadaat ki aag ko ziyada bharakne nahi diya",ham,
 16 December 1971 ko Saqoot e Dhaka ka saneha huwa,ham,
 16 July 1993 ko  EPC ne mid term intakhabat karwane ka mutalba manwane ke leye long march ka elan kiya,ham,
" 17 April 1971 ko All India Radio ne khaber nashar ki ke “Mashriqi Pakistan"" mein azad hukumat ke qayam ka alan kar diya gaya hai",ham,
 17 August 1988 ko Sadar e Pakistan General Zia ul Haq ke tayare ke hadse mein jan bahaq hoye to is raoz Ghulam Ishaq Khan ko Qayam Muqam Sadar bana deya gaya,ham,
 17 aur 8 December ki darmiyani shab ko un ki company ko “pur kanjri” ke gaoon par qabza karne ka hokum mila,ham,
 17 October 1957 ko Ibrahim Ismail makhloot hukomat mein Pakistan ke 6th wazeer e azam ban gaey,ham,
 17 sala Jahangir ne Hint ko itna zayada pehle hi game mein thaka deya tha ke un ki tawanai mein kami nazar ane lagi thi Hint apne harifon ko thaka ker harane mein mashhoor they lakin iss roze woh khud shikar ho rahe they yeh umda mansooba bandi ka nateja tha Jahangir ne pehla game iss andaz mein khela tha ke usey zayada sey zayada lamba keya ja sake,ham,
 18 April 1993 ko aik bar phir Sadar Ghulam Ishaq Khan ne apne ikhteyarat ko istemal karte hoye Quomi assembly tro di,ham,
 18 Dcecmber 1971 ko State Bank of Pakistan ke Governor bane,ham,
 18 December 1987 ko inn ki shadi Asif Ali Zardari say hoye,ham,
 18 March 1993 ko mulki halaat kay pesh  nazar Nawaz Sharif nay apnay sathiyon samat wazarat-e-Uzma say istafa day dia aur Sadar Ghulam Ishaq Khan nay assembly tehleel kardi,ham,
 19 April 1985 ko Nawaz Sharif nay Panjab kay wazir-e-alla ki hasyat say halaf uthaya,ham,
 19 March 1994 ko is hasht pehlo shakhsiyat ne daarfani se kooch kia,ham,
" 1905 mein in ka pehla shairi majmooa shaey hua, jis ka unwaan tha",ham,
 1911 mein jang tarablis ke mauqey par turkon ki imdaad ke liye barresagher mein anjuman hilal ahmer ke zer e aehtemam chanda jama karne ki mohim shuru hui aur Sindh mein mir ayub ali khan ki sadarat mein anjuman hilal ahmer ki branch qaiym hui to us ke secretary aur khazanchi sir Abdullah Haroon the,ham,
 1913 mein Haji Sahib Tarangzai Qabaili Ilaqon mein apna markaz qaim kerne ke liyeh muntaqil hogaye,ham,
 1913 mein sir Abdullah Haroon Karachi Municipality ke member hue,ham,
 1914 mein mohtamim talimat e Aurangabad howe,ham,
 1917 se Abdullah Haroon ne siyasat mein bharpor hissa lena shuru kar diya aur Indian National Congress mein shamil ho gaye,ham,
 1919 mein inhe Sindh khilafat committee ka president muntakhib kiya gaya aur 1924 tak wo is auhdey par faiyz rahe,ham,
 1919 se 1964 tak koi ais arsa na tha jab app mosalsal teen saalon tak jail se bahar rahe hon,ham,
 1920 mein jab Pir Ali Rashdi ki umer sirf 15 saal thi,ham,
 1920 se 1937 tak Ahmedabad mein aur 1937 se 1946 tak Bombay high court mein lawyer ka pesha kiya,ham,
 1921 mein aap ne Scotch Mission School mein dakhla liya,ham,
 1923 mein aik yatemm khana qaiym kiya,ham,
 1923 mein sir Abdullah Haroon ne Bombay majlis qanoonsaz ki nishast ke liye intekhab larha aur kamiyabi hasil ki,ham,
 1924 mein sahafti zindagi ka aaghaz “ Sindh News ” ki namaa nigari se kiya jo Karachi se nikalta tha,ham,
 1925 se 1929 tak Pir Ali Muhammed Rashdi ne haftawar “ alhazab ” nikala aur us ke editor rahe,ham,
 1926 mein wo markazi majilis qanoonsaz ke rukun bane aur aakhir dam tak majlis mein Sindh ki numaiydegi karte rahe,ham,
 1927 se 1932 tak Rashdi marhoom ne Mohammed Ayyub Khoro ke secretary ke faraiyz anjaam diye aur Sindh ko Bombay se alehda karne ki koshishon mein hissa liya,ham,
 1929 mein sukhur se nikalne wale akhbar “ Sindh Zameendaar ” ke editor muqarrar hue,ham,
 1930 mein sarhad mein Angrezon ke khelaf azadi ka ahang intehai taiz ho gaya Qissa Khawani Bazar mein firing huye hazaron ki tadad mein Pakhtoon shaheed kiye gaye Khan Abdul Ghaffar Khan (Bacha Khan) ko Atmanjai se Peshawar atey huye griftar ker liya geya aur agley 7 saalon mein Abdul Ghaffar Khan sirf chand mah jail aur nazar bandiyon se azad reh sake,ham,
 1933 mein “ Sindh Sitara ” ke naam se apna roznama sukhur se jari kiya,ham,
 1933 mein Allama Iqbal ne apne aik khat mein Allama Raghib Ahsan ke mutalliq likha ke “ Maulana Raghib Ahsan ki qabliyat o salahiyat ki tasdeeq karte hue mujhe be had musarrat hui hai,ham,
 1934 mein Peoples Party ke naam se aik tanzeem qaiym ki aur phir 1936 mein “ Sindh Ittehad Party ” mein bhi kaam kiya,ham,
 1935 mein Sarhad anye per pabandi khatam huye to ghar aney se pashter Bambai mein griftar huye iss tarah chay baras bad August 1937 mein ghar wapis aye lakin unn qurbaniyon ka samara unhein uss waqt mila jab issi baras un ke sathi Sarhad Assembly ke pehle amm intekhabat mein pachas mein se unees nishashton per kamyab rahe,ham,
 1937 ke intekhabat mein muslim league ke ticket par assembly ki nishast hasil ki aur muslim league ki kabeena mein wazeer muqarrar hue,ham,
 1937 mein Hussain Shaheed Suhrawardyall india musluim league mein shamil ho gaey aur Bengal mein muslim league ke secretary ki hesiyat se tanzeem nau ke silsila mein din raat kaam kiya,ham,
 1938 mein Mahnama “ Al Rashid ” ke editor muqarrar hue,ham,
 1938 mein Pir Rashdi ne all india muslim league mein shamoliyat ikhteyar ki aur 1938 mein he Quaid e Azam Mohammed Ali Jinnah ki zer e sadarat Karachi mein munaqid hone wali tareekhi conference ki majlis istaqbaliya ke general secretary ki hesiyat se conference ko kamiyab banane mein qabil e qadar khidmaat anjaam den,ham,
 1939 mein jab Fazal ul Haq ne muslim league party ki policy par amal peyra na hote hue defense council ki rukniyat qabool kar li aur bad mein mustafi hone se inkaar kar diya to us mauqey par Hussain Shaheed Suhrawardy aur Khuwaja Nazim Uddin ne unke khilaf aik mahaz banaya tha,ham,
 1940 mein Civil Service Soba  Sarhad se wabasta hoye,ham,
 1942 mein aap Fauj mein Captian ki hesiat se shamil ho gaey aur Mehakmae Talluqaat aama mein kaam kiya,ham,
 1942 mein India chor do ( Quit India ) tehreek ke dauran bhi wo Gandhi ji ke sath giraftar hue aur 21 month ki jail kaati,ham,
 1943 mein aap Major aur phir 1944 mein Leuitenant Colonel ke auhdey par taraqqi pa gaey,ham,
 1944 ke All India champion ship ke fathe ab almi Squash mein apna sikka jama baithe thay,ham,
 1944 mein Amritsar mein Jama ul sana hall bazaar mein jo ulom e sharqiya ki bhetareen darsgah thi wahan mahana tarhi mushairre hote the jin mein sharkat karna un ke leye bari khushi ki baat thi,ham,
 1944 mein Bombay mein hone wale All India tournament mein shekhst khane ke bad Abdul Bari har bar Hashim Khan ka shikar bante rahe Abdul Barika zor toot chuka tha Hashim Khan ne Abdul Bari ki har martaba shikasht sey do char ker ke apni mokammal bartari ka saboot deya,ham,
 1945 – 46 ke intekhabaat mein muslim league ki shandar kamiyabi ke bad April 1946 mein muntakhib numaiyndon ka convention Delhi mein munaqad hua tha,ham,
 1945 mein aap ne G M Syed ki himayat mein “Qurbani ” ke naam se aik akhbar jari kiya aur yeh news paper 1947 mein khoro wazarat ke dauran band hua,ham,
 1945 mein Islamiya high school Gungran Wala se matric kiya,ham,
" 1946 ke aam intekhabat mein Muslim Leaguei umeedwaron ke haq mein, aur bad izan Khirzar Hayat wazarat ke khilaf ihetejaji tehreek mein Hameed Nizami Marhom ne qayadat ka haq ada kiya",ham,
" 1946 ke intekhabat mein Hussain Shaheed Suhrawardyne muslim league ki intekhabi mohim ko umdagi se munazzam kiya, jis ki wajah se muslim league ne 250 mein se 170 nishasten jeeti thin",ham,
 1946 mein aap ne3 “ Faryad Sindh ” ke naam se aik kitab likhi,ham,
 1946 mein pore Hindustan ke muslim league ke muntakhib umeedwaron ka aik convention Delhi mein munaqid hua tha,ham,
 1947 mein aap Fauj se mustafi ho kar wapis Lahore aa gaey aur 1959 mein Pakistan Arts Council mein Secratery taiynaat hue aur 1962 tak wahin par kaam kiya,ham,
 1947 mein Guru Nanak Khalsa college (mujudah Islamiya college) se FSC aur graduation kiya,ham,
 1947 mein Pakistan ke marooz e wajud mein ane ke baad Wazir e Aala ke Sectary khurak aur Civil o Supplies Soba  Sarhad ke director rahe,ham,
" 1947 se 1958 ke darmiyan aap mukhtalif adbi rasaiyl o jaraiyd ke mudeer rahe, jin mein Adb-e-Lateef aur Lotus qabil-e-zikar hain",ham,
 1948 – 49 mein Afghanistan mein Pakistan ke safer rahe,ham,
 1948 mein karachi mein Peoples Party ki bunyad Bacha Khan ne rakhi lakin iss se pashter ke iss nauzaidah jamat ka dhancah khara hota June 1948 mein griftar ker liye gaye,ham,
 1948 mein Karachi se nikalne wale roznama “Sindh Aabroz ” ke mudeer muqarrar hue,ham,
 1949 mein pehli mertaba munaqid hone wali Pakistan professional Squash champion ship ke final mein 33 sala Hashim Khan ne 21 sala Raushan Khan ko shikast di,ham,
 1949 mein Pir Ali Rashdi Pakistan news paper editor conference ke sadder muntakhib hue aur Pakistani press ke us wafd ki sarbarahi ke faraiyz anjaam diye jo bharat gaya tha aur jis ne “ Liauqat Nehro Muaaehede ” ki raah hamwar kit hi,ham,
 1950 ki dahai mein Khan family keg air mamooli karnamon ki badault Pakistan Squash ki dunia mein sare fahrist raha,ham,
 1950 mein ap “aakank das” mein muntaqil ho gaye aur July 1953 mein ap ne military college ko kharbad keh deya,ham,
 1950 se 1951 tak aap soobey sarhad ke Governor rahe aur phir  1951 se 1953 tak Punjab ke Governor rahe,ham,
 1951 mein Punjab University se LLB kiya,ham,
 1953 mein aap ne dobara muslim league ke liye kaam kiya aur Sindh kabeena mein wazeer maal ki hesiyat se shamoliyat ikhteyar ki,ham,
 1953 mein in ka afsana Gadaria in ki shohrat ka baiys bana,ham,
 1954 mein in ki shadi Makhdoom ul Mulk Syed Ghulam Meeran Shah ki sahabzadi ke sath hui,ham,
 1955 mein Gungran Wala mein practice shoro kardi,ham,
 1955 mein Pakistan ki majlis qanoon saaz ke member muntakhib hue aur wafaqi hukomat ke wazeer e ittelaat o nashriyat muqarrar hue,ham,
 1956 ke aaiyn ki tayyari mein mashraqi o maghrabi Pakistan mein masawat ka usool manwane mein Hussain Shaheed Suhrawardy ne nehayat aeham kirdar adaa kiya,ham,
 1960 aur 1970 ka darmeyani arsa Khan Abdul Ghaffar Khan ney jailon aur jila watni mein guzara,ham,
 1960 ki dahai ke agaz mein Azam Khan aur Mohibbullah Khan ki kamyabyon ka silsila jari raha lakin almi cricket se unke rukhset hone ke bad gair mulki khailariyon ne British open per qabza jama leya,ham,
 1960 mein haft roza Shahab jari kiya,ham,
 1961 mein Philippine ka aala tareen shehri aezaaz “ Order of Sakartona ” ataa kiya,ham,
 1961 mein unhen commission mila,ham,
" 1962 mein Pir Ali Muhammed Rashdi safarti zimmedariyon se mustafee ho kar apne sabqa almi, adbi aur tehqeeqi mashaghil mein masroof ho gaey",ham,
 1964 mein London se wapsi par aap Abdullah Haroon College Karachi mein Principal ki hesiat se mulazim ho gaey,spam,
 1964 mein Mohibullah ko America mein koching ka moqa bhi mila Boston mein qaim Harrods club ne Mohibullah Khan ko professional coach moqarar kiya tha,ham,
 1965 ke intekhabat mein Allama Raghib Ahsan ne Madr e Millat Mohtarma Fatima Jinnah ke haq mein aur president Ayub Khan ke khilaf mashraqi Pakistan mein be had kaam kiya,ham,
 1965 mein Kabul chale gaye wahan se Al India Radio Kabul per apni taqreron  zareye se Pakistan ki mokhalfat aur Pakhtunistan qaim ki tahreek chalai,ham,
 1965 se unho ne Radio Pakistan Lahore par ek hafta war feature program Talqeen Shah ke naam se karna shuru kiya,ham,
 1968 mein jab woh Heli College Punjab University Lahore ke student union ke muntakhib sadar the,ham,
" 1969 mein unhon ne apni amli zindagi ka aghaz Karachi mein City Bank mein mulazimat se kia, 1975 mein un ki taenati beron e mulik kar di gai",ham,
 1970 mein Chairman Punjab labor Court bane,ham,
 1970 mein jab Toor Sim Khan Squash kheltey huae dil ka doura par janey sey achanek inteqal ker gae to Jhangir Khan ney apney merhoom bap ki khahish puri ker ney key leay dobarah Squash key maidan mein qadam rakha ,ham,
 1971 ki Pak bharat jang mein Muhammad Mahfuz Shaheed 10 Punjab ki regiment ki A company ke sath wabasta the jo Wahgah Atari sector ke muhaz par mutaien thi,ham,
 1971 ki Pak bharat jung mein head sulemanki ke qareb 6- frontier force ki Kaman ka fariza ap ko 3 December ko sonpa gaya aur unhein aik unche band par qaza karne ki muhim sonpi gai,ham,
 1973 ka mutafiqa aain manzor ho chukka tha lekin Balochistan ke halat mein therao nahi tha,ham,
" 1973 mein Harvard University say graduation karnay kay baad inhoon nay Oxford University mein dakhla lia wahaan say philosophy, Economics, Politics mein graduation ki",ham,
 1973 mien jab ke Farooq law college he mien zer e taleem the,ham,
 1973 se 1974 mein in ko (KCCA) whites ka liye muntakhib kiya gaya,ham,
 1974 mein high court ke Judge bane,ham,
 1975 mein Notre Dame University se isi mazmoon mein MA kiya aur usi dauran American estate department se wabistegi ikhteyar kar li,ham,
 1977 se le kar 1989 tak in ki tawajja ka markaz art films he rahi,ham,
 1979 say 1984 tak ka arsa Benazir Bhutto nay mukhtalif jaloon mein qeaid-o-band  ki sobatain jhaltay mukhtalif muqamaat per nazar band rehkar guzara,ham,
 1981 se 1987 tak aur phir 1993 tak wo associate professor ki hesiyat se political science parhati rahin,ham,
 1981 se 82 jab Pakistan ki team Australia ka doure per gai to team mein imteshar urroj per tha,ham,
 1984 mein reha honay kay baad woh khud sakhta jila watni kay tehat 2 saal kay lia England chali gayein,ham,
 1984 se 1985 mein Zaheer Abbas  ne New Zealand  ka doure mein captaini wapas lene se inkear kardiya to aik bar phir captainship Miandad ka pass wapas agai,ham,
 1985 ke gher jamati intekhabaat ke bad wo siyasat ki intehai bulandiyon par the,ham,
 1985 mein app Lahore chamber of commerce and industry kay sadar munthakeb huye,ham,
 1985 mein Australia mein mini world cup 1985 mein Javed Miandad ne team ki qayadat ki magar team final mein pohuch kar Bharat se har gai,ham,
" 1985 mein in ki shohrat soviet union se mutalliq muaamlat par gehri nazar rakhne wali khatoon mohqii kit hi, in dino inho ne Stanford  University mein takhfeef aslaah ( Arms Control ) ke mauzoo par aik lecture diya, jis mein George Bush bhi shareek hue the",ham,
 1988 kay intekhabat mein app nay subai assembly kay intekhabat (election) mein kamyabi hasil ki aur is kay bad 1990 kay intekhabat mein qaumi assembly kay rukun is halkay say muntakhab huye jahan iss say pehlay PPP ko kamiyabi hasil hoi thi,ham,
" 1988 mein app ne Haj ki sadat hasil ki aur bad e Azan kai bar Umrey ke liye bhi gaye 1995 mein kahanyon ka akhri majmua ""Koh Paima"" shaya hua issi baras app ki shayari ki akhri kitab ""Baseet"" bhi shae hue",ham,
 1989 mein Chief Justice High Court muqarar hoye,ham,
" 1990 – 91 mein west indies ke khilaf test series chal rahi thi ke Pakistan ke regular opener Rameez Raja zakhmi ho gae, in ki jagah Saeed Anwar ko Faisalabad ke dosre test match mein jhonk diya gaya aur aik aesi khatarnaak pitch par, jo na hamwar bounce le rahi thi",ham,
 1990 ke ashrey mien wo chand films mein nazar aaey,spam,
 1990 mein hukomat e Punjab ne aap ki khidmat ke aiteraaf mein “ tehreek e Pakistan ” ka gold medal diya,spam,
 1990 mein Khuwaja Tariq Rahim ne Benazir ki hukumat ki bahali ke leye darkhuasat dayer ki jo Chief Justice Muhammad Rafiq Tarar ne mustarad kardi,spam,
" 1992 mein inhan excetive senior vice president banaya gaya, global finance aur international banking mein wo 30 saal ka tajarba rakhte han",ham,
